paracetamol ,headache, muscle aches, arthritis, backache, toothaches, colds,   fevers. ,,,,,,
acyclovir (oral) ,herpes viruses, such as genital herpes. cold sores, shingles,   Chicken pox, as well as varicella ( chickenpox),   cytomegalovirus. ,,,,,,,
azithromycin ,infections caused by bacteria, such as respiratory infections. skin infections, ear infections. eye infections,   sexually transmitted diseases. ,,,,,,,,,
aspirin (oral) ,treat pain,   reduce fever Or inflammation. It is sometimes used to treat or prevent heart attacks, Strokes,   chest pain (angina). ,,,,,,,,,
amoxicillin ,infection caused by bacteria, such as tonsillitis, bronchitis, pneumonia,   infections of the ear, nose, throat, skin, or urinary tract. ,,,,
amlodipine ,used to treat chest pain (angina) ,  other conditions caused by coronary artery disease. Amlodipine is also used to treat high blood pressure ( hypertension) . Lowering blood pressure may lower your risk of a stroke or heart attack. ,,,,,,,,,,,
ampicillin (oral) ,treat or prevent many different types of infections such as bladder infections, pneumonia, gonorrhea, meningitis, or infections Of the stomach or intestines. ,,,,,,,,
baclofen ,treat muscle symptoms; such as spasm, pain ,  stiffness; caused by multiple sclerosis, spinal cord injuries, or Other spinal cord disorders. ,,,,,,,,
sulfamethoxazole ,  trimethoprim (oral) ,used to treat ear infections, urinary tract infections, bronchitis. traveler's diarrhea, shigellosis,   Pneumocystis jiroveci pneumonia. ,,,,,,,
benazepril ,used to treat high blood pressure ( hypertension). Lowering blood pressure may lower your risk of a stroke or heart attack. ,,,,,,,,,,,,
Belbuca buprenorphine ,treatment Of moderate to severe chronic pain that is not controlled by Other medicines. ,,,,,,,,,,,,
bicalutamide , used together with another hormone to treat prostate cancer. Scanned with CamScanner,,,,,,,,,,,,
captopril (KAP toe pril) ,treat high blood pressure (hypertension), congestive heart failure, kidney problems caused by diabetes,   to improve survival after a heart attack. ,,,,,,,,,
carbamazepine (oral) ,works by decreasing nerve impulses that cause seizures ,  nerve pain, such as trigeminal neuralgia ,  diabetic neuropathy. ,,,,,,,,,
cefdinir ,used to treat many different types of infections caused by bacteria. ,,,,,,,,,,,,
cefuroxime ,treat many kinds of bacterial infections, including severe or life- threatening forms. ,,,,,,,,,,,
cetirizine ,symptoms of sneezing, itching, watery eyes,   runny nose. It is used to treat cold or allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Cetirizine is also used to treat itching ,  swelling caused by hives. ,,,,,
chloroquine ,used to treat ,  to prevent malaria. Chloroquine is also used to treat amebiasis ( infection caused by amoebae). ,,,,,,,,,,,
ciprofloxacin (oral) ,treat different types of bacterial infections, including skin infections, bone ,  joint infections, respiratory or sinus infections, urinary tract infections,   certain types of diarrhea. It is also used to treat gonorrhea. ,,,,,,
clindamycin ,used to treat serious infections caused by bacteria. NEVER SETTLE Scanned with CamScanner,,,,,,,,,,,,
clopidogrel ,used to lower your risk of having a stroke, blood clot, or serious heart problem after you' ve had a heart attack, severe chest pain (angina), or circulation problems. ,,,,,,,,
clotrimazole ,used to treat yeast ( fungal) infections. Oral clotrimazole is used to treat ,  prevent yeast infections of the mouth ,  throat. ,,,,,,,,,,
cyanocobalamin (oral) ,used to treat vitamin B12 deficiency in people with pernicious anemia ,  other conditions. ,,,,,,,,,,,
desmopressin ,treat nighttime bed- wetting, central diabetes insipidus,   increased thirst ,  urination caused by head surgery or head trauma. ,,,,,,,,,
