usp_category,usp_class,usp_drug,kegg_id_drug,drug_example,kegg_id_drug_example,nomenclature
Analgesics,Nonsteroidal Anti-inflammatory Drugs,celecoxib,,celecoxib,D00567,(JAN/USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,DG00441,diclofenac,D07816,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,DG00441,diclofenac potassium,D00903,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,DG00441,diclofenac sodium,D00904,(JP17/USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,DG00441,diclofenac diethylamine,D07817,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,DG00441,diclofenac hydroxyethylpyrrolidine,D07818,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,DG00441,diclofenac calcium,D07819,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diflunisal,,diflunisal,D00130,(JAN/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,etodolac,,etodolac,D00315,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,DG00754,fenoprofen,D02350,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,DG00754,fenoprofen calcium,D00968,(JAN/USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,DG00755,flurbiprofen,D00330,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,DG00755,flurbiprofen axetil,D01475,(JAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,DG00755,flurbiprofen sodium,D02290,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,DG00755,esflurbiprofen,D10254,(JAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen,D00126,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen piconol,D01122,(JP17/USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen aluminum,D04490,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen lysine,D06606,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen arginine salt,D08058,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen sodium,D08059,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,DG00245,ibuprofen sodium,D09760,(USAN)
